geonameId,cityName,countryName,countryCode,latitudeDegrees,longitudeDegrees,timezoneId,population,featureCode,searchNames
1148205,Āsmār,Afghanistan,AF,35.03333,71.35809,Asia/Kabul,15708,PPLA2,Асмар
3041732,Mariehamn,Aland Islands,AX,60.09726,19.93481,Europe/Mariehamn,10682,PPLC,Мариехамн
3186084,Berat,Albania,AL,40.70583,19.95222,Europe/Tirane,62232,PPLA,Берат
783508,Bulqizë,Albania,AL,41.49167,20.22194,Europe/Tirane,26826,PPLA2,Булькиза|Bulkiza
3185728,Durrës,Albania,AL,41.32355,19.45469,Europe/Tirane,195920,PPLA,Durazzo|Дуррес
783263,Elbasan,Albania,AL,41.11138,20.08224,Europe/Tirane,100903,PPLA,Эльбасан
3185672,Fier,Albania,AL,40.7251,19.55823,Europe/Tirane,56297,PPLA,Фиери
3185638,Fushë-Krujë,Albania,AL,41.47833,19.71778,Europe/Tirane,17877,PPLA3,Фуше-Круя
783148,Gjirokastër,Albania,AL,40.07583,20.13889,Europe/Tirane,23437,PPLA,Gjirokastra|Argirocastro|Гирокастра
3185211,Kavajë,Albania,AL,41.18556,19.55694,Europe/Tirane,30012,PPLA2,Kavaja|Кавайе|Кавая
782756,Korçë,Albania,AL,40.61861,20.78083,Europe/Tirane,58259,PPLA,Korça|Корча
3185082,Krujë,Albania,AL,41.50917,19.79278,Europe/Tirane,51191,PPLA2,Kruja|Croia|Круя|Kruya
782661,Kukës,Albania,AL,42.07694,20.42194,Europe/Tirane,36125,PPLA,Кукес
3185060,Kuçovë,Albania,AL,40.80028,19.91667,Europe/Tirane,31077,PPLA2,Кучова|Сталин|Kuchova
3184935,Lezhë,Albania,AL,41.78361,19.64361,Europe/Tirane,18695,PPLA,Lezha|Alessio|Лежа
782519,Librazhd,Albania,AL,41.17944,20.315,Europe/Tirane,23312,PPLA2,Либражди|Либражд
3184862,Lushnjë,Albania,AL,40.94194,19.705,Europe/Tirane,63135,PPLA2,Люшня|Lushnja
3184518,Patos,Albania,AL,40.68333,19.61944,Europe/Tirane,16000,PPLA3,Патоси
3184517,Patos Fshat,Albania,AL,40.64278,19.65083,Europe/Tirane,22679,PPL,
3184497,Peqin,Albania,AL,41.04611,19.75111,Europe/Tirane,16580,PPLA2,Пекини|Pequini|Pekin
781988,Pogradec,Albania,AL,40.9025,20.6525,Europe/Tirane,46070,PPLA2,Поградец
3184271,Rrashbull,Albania,AL,41.32278,19.51028,Europe/Tirane,20099,PPLA3,
363243,Sarandë,Albania,AL,39.87534,20.00477,Europe/Tirane,22613,PPLA2,Saranda|Santi Quaranta|Саранда
3184081,Shkodër,Albania,AL,42.06828,19.51258,Europe/Tirane,95553,PPLA,Shkodra|Scutari|Шкодер
3183875,Tirana,Albania,AL,41.32744,19.81866,Europe/Tirane,418495,PPLC,Тирана
3183719,Vlorë,Albania,AL,40.4696,19.48379,Europe/Tirane,115261,PPLA,Vlora|Valona|Влёра
2509031,Abou el Hassan,Algeria,DZ,36.41657,1.19616,Africa/Algiers,24022,PPL,
2508813,Adrar,Algeria,DZ,27.87429,-0.29388,Africa/Algiers,68276,PPLA,Адрар
2508737,Aflou,Algeria,DZ,34.11279,2.10228,Africa/Algiers,93585,PPL,
2508455,Ahmed Bel Hadj,Algeria,DZ,36.80146,7.60811,Africa/Algiers,29629,PPL,
2508157,Ain el Hadjel,Algeria,DZ,35.67003,3.88153,Africa/Algiers,28728,PPL,
2507646,Akbou,Algeria,DZ,36.4575,4.53494,Africa/Algiers,38291,PPL,
2507480,Algiers,Algeria,DZ,36.73225,3.08746,Africa/Algiers,2364230,PPLC,Alger|Argel|Algier|Algeri|Алжир
11204500,Ali Mendjeli,Algeria,DZ,36.2459,6.5671,Africa/Algiers,64120,PPL,
2507169,Amizour,Algeria,DZ,36.64022,4.90131,Africa/Algiers,25825,PPL,
2507155,Ammi Moussa,Algeria,DZ,35.86781,1.11143,Africa/Algiers,27530,PPL,
2506999,Annaba,Algeria,DZ,36.9,7.76667,Africa/Algiers,342703,PPLA,Bône|Аннаба
2506795,Aoulef,Algeria,DZ,26.96667,1.08333,Africa/Algiers,21723,PPL,
2506623,Arbatache,Algeria,DZ,36.63773,3.37127,Africa/Algiers,17481,PPL,
2506519,Arhribs,Algeria,DZ,36.79361,4.31158,Africa/Algiers,23958,PPL,
2506404,Arris,Algeria,DZ,35.25881,6.34706,Africa/Algiers,36641,PPL,
2506385,Arzew,Algeria,DZ,35.85048,-0.318,Africa/Algiers,58162,PPL,Saint-Leu
2494065,Assi Bou Nif,Algeria,DZ,35.69222,-0.49944,Africa/Algiers,53700,PPL,
2506043,Azazga,Algeria,DZ,36.74472,4.37222,Africa/Algiers,26515,PPL,Азазга
2505915,Azzaba,Algeria,DZ,36.73944,7.10528,Africa/Algiers,33766,PPL,Аззаба
2508297,Aïn Arnat,Algeria,DZ,36.18683,5.31347,Africa/Algiers,25315,PPL,
2508268,Aïn Bessem,Algeria,DZ,36.29333,3.67319,Africa/Algiers,32548,PPL,
2508287,Aïn Beïda,Algeria,DZ,35.79639,7.39278,Africa/Algiers,116064,PPL,
2508228,Aïn Defla,Algeria,DZ,36.26405,1.9679,Africa/Algiers,55259,PPLA,Эйн-Дефла
2508174,Aïn el Bya,Algeria,DZ,35.80389,-0.30178,Africa/Algiers,37241,PPL,
2508102,Aïn Fakroun,Algeria,DZ,35.97108,6.87374,Africa/Algiers,48804,PPL,
2508059,Aïn Kercha,Algeria,DZ,35.92472,6.69528,Africa/Algiers,30575,PPL,
2508002,Aïn M’Lila,Algeria,DZ,36.03687,6.57219,Africa/Algiers,65371,PPL,
2507979,Aïn Oulmene,Algeria,DZ,35.92296,5.29604,Africa/Algiers,51207,PPL,
